59334, ollama, https://github.com/ollama/ollama, "Get up and running with Llama 3, Mistral, Gemma, and other large language models.", "go,golang,llama,llama2,llm,llms,mistral,ollama", 2023-06-26 19:39:32 +0000 UTC
19857, opentofu, https://github.com/opentofu/opentofu, "OpenTofu lets you declaratively manage your cloud infrastructure.", "", 2023-08-16 20:01:36 +0000 UTC
8906, OpenGFW, https://github.com/apernet/OpenGFW, "OpenGFW is a flexible, easy-to-use, open source implementation of GFW (Great Firewall of China) on Linux", "censorship,dpi,filtering,firewall,gfw,ips,networking", 2023-12-13 06:37:41 +0000 UTC
8778, plandex, https://github.com/plandex-ai/plandex, "An AI coding engine for building complex, real-world software with LLMs", "ai,ai-agents,ai-developer-tools,ai-tools,cli,command-line,developer-tools,git,golang,gpt-4,llm,openai,polyglot-programming,terminal,terminal-based,terminal-ui", 2023-10-24 22:11:43 +0000 UTC
5351, daytona, https://github.com/daytonaio/daytona, "The Open Source Dev Environment Manager.", "dev-env,dev-environment-setup,developer-tools,development-environment,development-environment-manager", 2024-02-06 08:21:20 +0000 UTC
4164, ladder, https://github.com/everywall/ladder, "Selfhosted alternative to 12ft.io. and 1ft.io bypass paywalls with a proxy ladder and remove CORS headers from any URL", "bypass,cors,cors-proxy,paywall,paywall-blocker,paywall-bypasser", 2023-11-01 21:09:49 +0000 UTC
3422, xzbot, https://github.com/amlweems/xzbot, "notes, honeypot, and exploit demo for the xz backdoor (CVE-2024-3094)", "", 2024-04-01 14:28:09 +0000 UTC
3249, huh, https://github.com/charmbracelet/huh, "Build terminal forms and prompts 🤷🏻\u200d♀️", "", 2023-10-11 16:59:24 +0000 UTC
3093, ssh3, https://github.com/francoismichel/ssh3, "SSH3: faster and rich secure shell using HTTP/3, checkout our article here: https://arxiv.org/abs/2312.08396 and our Internet-Draft: https://datatracker.ietf.org/doc/draft-michel-ssh3/", "", 2023-10-31 10:21:38 +0000 UTC
3040, hatchet, https://github.com/hatchet-dev/hatchet, "A distributed, fault-tolerant task queue", "concurrency,dag,distributed,distributed-systems,durable-execution,event-driven,fastapi,golang,nodejs,python,queue,typescript,workflow-engine", 2023-12-15 17:50:29 +0000 UTC
2768, nilaway, https://github.com/uber-go/nilaway, "Static analysis tool to detect potential nil panics in Go code", "go,nil-pointer,nilability,nilability-analysis,static-analysis", 2023-07-11 16:37:19 +0000 UTC
2744, typeid, https://github.com/jetify-com/typeid, "Type-safe, K-sortable, globally unique identifier inspired by Stripe IDs", "guid,typeid,uuid,uuidv7", 2023-06-07 21:29:58 +0000 UTC
2643, coze-discord-proxy, https://github.com/deanxv/coze-discord-proxy, "代理Discord对话Coze-Bot，实现以API形式请求GPT4模型，提供对话、文生图、图生文、知识库检索等功能。", "", 2024-01-26 07:32:25 +0000 UTC
2509, pgroll, https://github.com/xataio/pgroll, "PostgreSQL zero-downtime migrations made easy", "golang,migrations,postgresql,zero-downtime", 2023-06-22 15:29:36 +0000 UTC
2469, gptscript, https://github.com/gptscript-ai/gptscript, "Natural Language Programming", "", 2024-01-29 23:21:29 +0000 UTC
2402, retina, https://github.com/microsoft/retina, "eBPF distributed networking observability tool for Kubernetes", "ebpf,kubernetes,networking,observability", 2024-01-23 01:31:59 +0000 UTC
2325, redka, https://github.com/nalgeon/redka, "Redis re-implemented with SQLite", "database,key-value,redis,sqlite", 2024-04-06 19:10:02 +0000 UTC
2242, freeze, https://github.com/charmbracelet/freeze, "Generate images of code and terminal output 📸", "", 2024-01-10 00:51:47 +0000 UTC
2104, pop, https://github.com/charmbracelet/pop, "Send emails from your terminal 📬", "", 2023-06-21 18:45:38 +0000 UTC
2024, vfox, https://github.com/version-fox/vfox, "A cross-platform and extendable version manager with support for Java, Node.js, Flutter, .Net & more", "asdf,bash,cli,cmd,cross-platform,development-tools,golang,linux,lua,macos,nodejs,plugin-manager,powershell,sdk,tools,version-manager,windows,zsh", 2023-12-09 08:57:59 +0000 UTC
2012, zen, https://github.com/anfragment/zen, "Simple, free and efficient ad-blocker and privacy guard for Windows, macOS and Linux", "adblock,gui,linux,macos,privacy,windows", 2023-05-27 08:49:39 +0000 UTC
1978, zep, https://github.com/getzep/zep, "Zep: Long-Term Memory for \u200dAI Assistants.", "ai,langchain,language-model,llamaindex,llm,vectorsearch", 2023-04-29 14:06:22 +0000 UTC
